Location,Category,Business Name,Phone Number,Website URL,Rating,Review Count
Nashik,premium bakery,Sharanya's cakes(homebaker),083808 53777,,5.0,18.0
Nashik,premium bakery,Oliv- Taste the Calm,090492 19589,,4.9,145.0
Nashik,premium bakery,Sagar Sweets,089561 95945,,4.3,527.0
Nashik,premium bakery,Best Bakery,,,5.0,1.0
Nashik,premium bakery,Sagar Sweets,089561 95944,,4.2,3386.0
Nashik,premium bakery,BREW HUB COFFEE,099703 66649,,4.4,181.0
Nashik,premium bakery,U2 cake,088058 35772,,3.8,10.0
Nashik,premium bakery,Shree Hinglajmata Bakery,098228 69643,,4.4,5.0
Nashik,premium bakery,Waah Food Hub,088061 00012,,4.5,94.0
Nashik,premium bakery,Lords Foods Products,,,4.1,162.0
Nashik,specialty coffee shop,Buzz Cafe Dwarka,087881 38980,,4.9,94.0
Nashik,specialty coffee shop,Ground Zero Coffee Roasters,,,4.9,54.0
Nashik,specialty coffee shop,SPECIALITY COFFEE HUB,,,4.6,13.0
Nashik,specialty coffee shop,Chai tapri Best cafe in Nasik,084848 29129,,3.9,779.0
Nashik,specialty coffee shop,Lotus Cafe Nashik,,,5.0,29.0
Nashik,specialty coffee shop,Durga cafe and restaurent,,,4.9,10.0
Nashik,specialty coffee shop,Cafe black spoon,099236 76609,,4.4,28.0
Nashik,specialty coffee shop,CAFE CHAIHOLIC,099604 48605,,4.9,60.0
Nashik,specialty coffee shop,South Indian Filter Coffee Nashik,090964 25590,,4.8,68.0
Nashik,specialty coffee shop,Café Kaifee CK,093718 63482,,4.1,51.0
Nashik,specialty coffee shop,Brew culture cafe,,,4.9,9.0
Nashik,specialty coffee shop,Garam chaha and cafe,,,4.6,21.0
Nashik,specialty coffee shop,Le Cafetino,,,3.5,43.0
Nashik,specialty coffee shop,Desi Vesi | देसी वेसी । Best Cafe in Nashik | PURE VEG | Chinese food | Italian food | Continental food,084463 93432,,4.9,447.0
Nashik,specialty coffee shop,Cafe Hindustani ( कॅफे हिंदुस्तानी ),077770 02055,,4.8,22.0
Nashik,specialty coffee shop,Raut Soda and Foods,099707 02080,,4.0,101.0
Nashik,specialty coffee shop,DE RIO,,,4.5,75.0
Nashik,specialty coffee shop,Flutterby Café,,,4.9,29.0
Nashik,specialty coffee shop,Cafe' Xpress,097638 62139,,4.4,443.0
Nashik,specialty coffee shop,MOKSH LAMINATE/Moksh Industries Pvt Ltd,094236 99712,,4.9,10.0
Nashik,specialty coffee shop,CHAI KETALI (Ashoka Marg),098909 78676,,4.0,670.0
